Category,URL,Title,Image File,Product Code,Brand,Dimensions (HxDia),Discharge Range,Discharge Time,Operating Temperature,Working Pressure,Weight,Product Datasheets,Alternative Product Codes,Storage Temperature,Warranty,Capacity,Discharge Range (min),Extinguisher Agent,Dielectrical Test,1 unit,2+ units,5+ units,Dimensions (HxWxDia),Temperature Range,Operating Pressure,Dimensions (HxWxD),Extinguisher ID Sign,Approvals,Extinguisher Contents,Dimensions,Empty Weight,Fire Rating,Hose Length,Maximum Allowable Pressure,Test Pressure,Extinguisher Rating,Manufacturer Part Number,Minimum Burst Pressure,Weight (inc. Cylinder),Kit Contents,Component,"""First Aid in an Emergency"" booklet",Cleansing Wipes,Waterproof Low Allergy Plasters – Pk 10,Disposable Non-Sterile Triangular Bandage 90 x 90 x130cm,HSE Medium Dressing – 12 x 12cm,HSE Large Dressing – 18 x 18cm,SJS Nitrile Powder Free Gloves (pair) – Medium,St. John Ambulance Finger Dressing,Extinguisher Ratings,Case Dimensions (HxWxD),Weave,Dimensions (HxW),Space volume suitable for,Back-Up Battery,Input Voltage,Relative Humidity,Activation Alerts,Detection,Extinguishing Agent,Fire Control Area,Fire Suppression Area,Installation Time,Legionella Control,External Dimensions (HxWxD),Internal Dimensions (HxWxD),Number of Fire Resistant Pads,Battery Suitability,Fabric Weight,Fire Type Suitability,Independent Testing,Internal Exposure Test,Lifespan,Material,Maximum Temperature,PFAS-Free,Certification,Number of Sockets,Door Swing,Handle Depth,Shelves,Construction,Dimensions (HxL),Item,Waterproof Low Allergy Plasters - Pk 10,HSE Medium Dressing - 12 x 12cm,HSE Large Dressing - 18 x 18cm,SJS Nitrile Powder Free Gloves (pair) - Medium,Medium Dressing 12x12cm,Traumafix Dressing 10x18cm,Low-Adherent Dressing 7.5x7.5cm,Triangular Bandage,Washproof Plasters (assorted) 10pk,Sterile Moist Cleansing Wipes 10pk,Nitrile Powder Free Gloves (pair),Revive-aid (Resuscitation mask with valve),Disposable Heat Retaining Foil Blanket,Burnshield® Burns Dressing 10x10cm,Tuff-Kut Scissors,"""First Aid in an Emergency"" Booklet",Burnshield® Burn Blott sachets (3.5g),Sterile Cleansing Wipes,HSE Medium Dressing (12 x 12cm),HSE Large Dressing (18 x 18cm),Resuscitation Face Shield,Green Plastic Tweezers,Microporous Tape (1.25cm x 10m),No. 16 Sterile Eye Pad Dressing,Non-Sterile Triangular Bandage (90 x 90 x 130cm),Eye Wash Phials (20ml),Dimensions (L),Max. Extinguisher Dimensions,Suitability,Recyclable,Dimension (HxW),Battery Type,Sound Output,1+ units,"£41.27 inc VAT

£34.39 ex VAT","£67.43 inc VAT

£56.19 ex VAT","£67.43 inc VAT                                  

                                  £56.19 ex VAT",Design Right Reg No.,IP Rating,Packaged Dimensions (HxWxD),Power Type,Radio Linking Frequency,Radio-Frequency Range,Guarantee,Cabinet: Trolley with No Cabinet,Fire Bucket: No Fire Bucket,Fire Extinguishers: None,Fire Blanket: No Fire Blanket,Fire Point Sign: No Fire Point Sign,Fire Action Sign: No Fire Action Sign,Site Alarm: No Site Alarm,Snap Frame: No Snap Frame,"Total (inc VAT)

Total (ex VAT)",Product ID,UFSSR,UFSSG,UFSSB,UFSSY,UFSSSCSMCP,UFSSSCRFCP,UFSSDCSMCP,UFSSDCRFCP,Power Source,Keys,File Size,File Type,Number of Pages,Length,Alarm Sensitivity,Operating Voltage,Alarm Relay,Alarm Thresholds,Alarm set-points (EH40),Beacon Type,Connection,Display,Max Number of Devices per Display Unit,Measurement Range,Mounting Options,Power Consumption,Relay Options,Response time,Sensor Type,Start up time,Supply Voltage,Available Sizes,Compatibility,Battery Capacity,Charging Time,Battery Life,Case Material,Colour,Backup Duration,Barcode (EAN / GTIN),Operating Humidity,Power Supply,Storage Humidity,Dimensions (HxWxL),Humidity Range,Network Interface,Exposure Temperature,Number of Devices,Opening Angle,Adjustable Closing Speed,Adjustable Latching Action,EN Size,Adjustable Back Check,Classification,Dimensions (LxWxD),Standard Installation Positions,Adjustable Delayed Closing Action,Available Colours,Expected Battery Life,Preferred Sounder,,Hold-Open,Original Model,"Dorgard User Manual
Dorgard Troubleshooting Guide
Dorgard Datasheet",Battery Life Expectancy,BS7273-4 Category,Max. Door Size,Holding Force,Dimensions (HxD),Testing,Maximum Load,Door Suitability,Finish,Minimum Door Requirements,Dimension (Diameter),Dimensions (DxDia),Model Number,TGPBTUBE,HSTGL1,TG39/51921,EMKRK101,EMKSBR,TGPBMK1,ASHWORTH,Max. Door Dimensions,Door Thickness,Code Storage,Voltage,Active Current,Adjustable Door Relay Time,Alarm Output Load,Lock Output Load,Volume,Dimensions (Diameter),Acoustic Insulation,Depth of Pipe Collars,Suitable Pipe Sizes,Air Permeability,Density,Heat Ageing,Maximum Size of Seal,Protection Level,Thermal Conductivity,Water Vapour Permeability,Expansion Ratio,Temperature Trigger,Application Temperature,Consistency,Curing System,Temperature Resistance,Barcode,Min / Max Gap,Test Results,Shelf Life,Lock Type,Aperture,Performance Level,Drawers,Tray,Number of Doors,Internal Fittings,Deposit Slot,Door Aperture (HxW),Dimensions (WxD),Colour Temperature,Lamp Type,Light Output,Emergency Light Output,Maintained/Switchable Light Output,Viewing Distance,OBPALDWD,OBPALDWDSK,OBPALDWU,OBPALDWUSK,OBPALDWLR,OBPALDWLRSK,OBPALDBKD,OBPALDBKDSK,OBPALDBKU,OBPALDBKUSK,OBPALDBKLR,OBPALDBKLRSK,OBPALDCHD,OBPALDCHDSK,OBPALDCHU,OBPALDCHUSK,OBPALDCHLR,OBPALDCHLRSK,OBPALDBRD,OBPALDBRDSK,OBPALDBRU,OBPALDBRUSK,OBPALDBRLR,OBPALDBRLRSK,Legend,Cable Length,Number of Operators,"£1,061.56 inc VAT

£884.63 ex VAT","£1,746.91 inc VAT                                  

                                  £1,455.76 ex VAT","£1,117.87 inc VAT

£931.56 ex VAT","£1,803.23 inc VAT                                  

                                  £1,502.69 ex VAT",Operation Type,Stair Type,Average Speed,Motor,Stair Angle,Model,Product Code: ECCSERVI,Product Code: RCEVACCH,Product Code: RCEVACCHTTT,"£138.00 inc VAT

£115.00 ex VAT",Pad Life,Waveform,Battery Stand-by Life,Battery Shelf Life,Defibrillator Type,Standby Life,Dimensions (WxDxL),Energy Output,Placement,STJG5SNC,STJG5ANC,STJDTAED5,STJDTAUT5,MMDTVIEW,MMDTECG,MMDTPRO,STJDEFIFA,STJDEFISA,AHHS350P,AHHS360P,AHHS500P,STJIPADFA,STJIPADSA,RMMEDA15,RMMEDA16FA,RMMEDA16SA,STJHHDWC,STJHSFRX,STJHSFR3,PCLPCRFAAED,PCLPCRSAAED,PCLP1000SA,PCLP1000ECG,PCCR2SAWFH,PCCR2FAWFH,PCCR2FA3GB,PCCR2SA3GB,PCLPCR2ESAED,PCLPCR2EFAED,PMHSPAD,PMHSAED,PMHSAEDM,AZFREL,AZFRE,AZFREP,STJAEDPLUS,STJAEDPLFA,MMDTAED5,MMDTAUT5,Heater Wattage,Eye Wash Bottle (500ml),Eye Wash Pods (20ml),Eye Pad,Wall Bracket,Mirror,Disposable Razor,Res-cue Mask,Sterile Moist Cleansing Wipes (10pk),Tissues (10pk),Nitrile Powder Free Gloves (pair) - Large,Large Dressing 18x18cm,Sterile Moist Cleansing Wipes,LifeVac Suction Device,Yellow Travel Case,LifeVac Instruction Booklet,Paediatric Mask,Small Child / Adult Mask,Medium Adult / Test Mask,Large Adult Mask,Window / door sticker,Feedback Form,Box Dimensions (HxWxD),A3 Laminated BLS Poster,Medium Adult Mask (inc. 1 for training),Burnshield® finger dressing,Burnshield® Dressing - 10 x 10cm,Burnshield® Burn Blott single sachet - 3.5g,St John Ambulance conforming bandage - 7.5cm x 4.5m,Burnshield® Hydrogel - 50ml,St John Ambulance nitrile powder-free gloves - pair,Contents,Disinfectant Spray - 50ml,Super-absorbent Powder - 10g,Disposable Vinyl Gloves - Pair,Disposable Polythene Over-sleeves - Pair,Disposable Apron,Biohazard Bag,Scoop & Scraper,Non-woven Wipes,Disinfectant Wipes,Disinfectant Spray - 500ml,Super-absorbent Powder - 100g,Clean Up Pack,Dry Wipes,Disinfection Wipe,PAcT First Aid Kit instruction booklet,Pairs of disposable gloves,Disposable glasses,Pack of 5 disposable face masks,Tuff cut scissors,Large trauma wound dressing,Tourni-key Plus,CPR face shield,Permanent marker pen,GoodSAM registration card,Woven triangular bandage,Tourniquet (including indelible marker pen),Alarm Trigger Sound,Overall Deafgard height:,Deafgard main casing height:,Deafgard width:,Deafgard depth:,Packed Deafgard kit weight,Casing material,Coverage,Sensitivity,Storage and Transport,"£14.00 inc VAT

£11.67 ex VAT"
Call Point Covers,https://www.safelincs.co.uk/product_reviews.php?pid=3383,Call Point Cover - Surface Mounted Universal Stopper STI 13110FR / STI 13120FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Point Covers,https://www.safelincs.co.uk/sti-universal-stopper-st13010eg/,Access Control Cover - Flush Mounted Universal Stopper STI 13010EG / STI 13020EG,Access Control Cover  Flush Mounted Universal Stopper STI 13010EG  STI 13020EG.jpg,"Standard: 
                  ST13010EG                
                              
                  Alarmed: 
                  ST13020EG",STI EMEA,,,,-40 °C to +49 °C,,ST13010EG: 0.6kgST13020EG: 0.6kg,"13000 Series Datasheet
            
              
  
  

13000 Series Installation Sheet",,,,,,,,,,,,,,External: 207x137x68mmInternal: 138x116x64mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard: Not requiredAlarmed: 9V PP3 Battery,Alarmed Version: 96dB,,,,,,IP56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Point Covers,https://www.safelincs.co.uk/write_review.php?pid=3384,Access Control Cover - Flush Mounted Universal Stopper STI 13010EG / STI 13020EG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Point Covers,https://www.safelincs.co.uk/sti-universal-stopper-st13110eg/,Access Control Cover - Surface Mounted Universal Stopper STI 13110EG / STI 13120EG,Access Control Cover  Surface Mounted Universal Stopper STI 13110EG  STI 13120EG.jpg,"Standard: 
                  ST13110EG                
                              
                  Alarmed: 
                  ST13120EG",STI EMEA,,,,-40 °C to +49 °C,,ST13110EG: 0.6kgST13120EG: 0.6kg,"13000 Series Datasheet
            
              
  
  

13000 Series Installation Sheet",,,,,,,,,,,,,,External: 207x137x105mmInternal: 138x116x101mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard: Not requiredAlarmed: 9V PP3 Battery,Alarmed Version: 96dB,,,,,,IP56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Point Covers,https://www.safelincs.co.uk/write_review.php?pid=3385,Access Control Cover - Surface Mounted Universal Stopper STI 13110EG / STI 13120EG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Point Covers,https://www.safelincs.co.uk/sti-1200-flush-mounted-call-point-cover/,Call Point Cover 'Stopper 2' STI 1200 (for flush mounted call points),Call Point Cover Stopper 2 STI 1200 for flush mounted call points.jpg,ST1200,STI EMEA,,,,,,0.60kg,"Stopper II Datasheet
            
              
  
  

Stopper II Installation Sheet",,,,,,,,,,,,,,216x140x81mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polycarbonate,Clear with red info panel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Point Covers,https://www.safelincs.co.uk/write_review.php?pid=2923,Call Point Cover 'Stopper 2' STI 1200 (for flush mounted call points),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Point Covers,https://www.safelincs.co.uk/sti-1230-surface-mounted-call-point-cover/,Call Point Cover 'Stopper 2' STI 1230 (for surface mounted call points),Call Point Cover Stopper 2 STI 1230 for surface mounted call points.jpg,ST1230,STI EMEA,,,,,,0.60kg,"1200 Series Datasheet
            
              
  
  

1200 Series Installation Sheet",,,,,,,,,,,,,,216x140x132mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polycarbonate,Clear with red info panel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Point Covers,https://www.safelincs.co.uk/write_review.php?pid=2924,Call Point Cover 'Stopper 2' STI 1230 (for surface mounted call points),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Point Covers,https://www.safelincs.co.uk/sti-1100-flush-mounted-call-point-cover-with-sounder/,Call Point Cover 'Stopper 2' with Sounder STI 1100 (for flush mounted call points),Call Point Cover Stopper 2 with Sounder STI 1100 for flush mounted call points.jpg,ST1100,STI EMEA,,,,,,0.60kg,"Stopper II Datasheet
            
              
  
  

Stopper II Installation Sheet",,,,,,,,,,,,,,216x140x81mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96 dB at 1 metre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polycarbonate,Clear with red info panel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Point Covers,https://www.safelincs.co.uk/write_review.php?pid=2925,Call Point Cover 'Stopper 2' with Sounder STI 1100 (for flush mounted call points),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Point Covers,https://www.safelincs.co.uk/sti-1130-surface-mounted-call-point-cover-with-sounder/,Call Point Cover 'Stopper 2' with Sounder STI 1130 (for surface mounted call points),Call Point Cover Stopper 2 with Sounder STI 1130 for surface mounted call points.jpg,ST1130,STI EMEA,,,,,,0.60kg,"Call-point-stopper-2-new
            
              
  
  

Stopper II Datasheet
            
              
  
  

Stopper II Installation Sheet",,,,,,,,,,,,,,216x140x132mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96 dB at 1 metre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polycarbonate,Clear with red info panel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Point Covers,https://www.safelincs.co.uk/write_review.php?pid=2926,Call Point Cover 'Stopper 2' with Sounder STI 1130 (for surface mounted call points),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality Monitors,https://www.safelincs.co.uk/kidde-kco2m10-mains-powered-carbon-dioxide-co2-air-quality-monitor/,"Mains-Powered Carbon Dioxide (CO2) Air Quality Monitor with ""Traffic Light"" & Voice Alerts - Kidde KCO2M10",MainsPowered Carbon Dioxide CO2 Air Quality Monitor with Traffic Light  Voice Alerts  Kidde KCO2M10.jpg,KEKCO2MB,Kidde,,,,-5 °C to +50 °C,,0.23kg,"KCO2M10UK Air Quality Monitor Datasheet
            
              
  
  

KCO2M10UK Air Quality Monitor EU DoC Rev.2
            
              
  
  

KCO2M10UK Air Quality Monitor Manual Rev3
            
              
  
  

KCO2M10UK Air Quality Monitor UKCA DoC Rev.2","KEKCO2MB, KEKCO2MW, KCO2M10UK",-10 °C to +60 °C,2 Years,,,,,,,,,,,99 x 99 x 36mm,,,,,,,,,,,KCO2M10UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400ppm to 5000ppm,,Standby Current: <50mA,,,,,,,,,,,,,12 Hours,0047871326570,0 to 99% RH,230V Mains Plug,0 to 95% RH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality Monitors,https://www.safelincs.co.uk/write_review.php?pid=5817,"Mains-Powered Carbon Dioxide (CO2) Air Quality Monitor with ""Traffic Light"" & Voice Alerts - Kidde KCO2M10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality Monitors,https://www.safelincs.co.uk/mains-powered-vape-detector/,Hispec Mains Powered SMART Vape Detector,Hispec Mains Powered SMART Vape Detector.jpg,HIHWSVD,HiSPEC,,,,-10°C to +55°C,,0.23kg,"Datasheet
            
              
  
  

FAQs
            
              
  
  

Mains Wiring Diagram
            
              
  
  

Promotional Flyer
            
              
  
  

Tuya Smart App - Quick Start Guide
            
              
  
  

User Manual",,,,,,,,,,,,,,,,,,,,,,,,,HSSA/VAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC Adaptor input: AC 100~240v,,,,,,,,,,,,,,,,,,,,PM2.5 Laser Scattering,,,,,,,,,,,,,,,26 x 90 x 90mm,<95% RH (Non-condensing),2.4GHz WiFi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
